"","strain","lineage","serotype","temperature","nis_conc","nisin","day","replicate","MPN_CVT","note","elimination","nc","max_tmt","agegroup"
"171","FSL F2-0237","II","12a",4,25,"minus",15,3,6.64,NA,0,0,"no","4_25_3"
"172","FSL F2-0310","I","4b",4,25,"plus",15,3,4.86,NA,0,25,"no","4_25_3"
"173","FSL L3-0051","I","12b",4,25,"plus",15,3,4.18,NA,0,25,"no","4_25_3"
"174","FSL F2-0237","II","12a",4,25,"plus",15,3,4.98,NA,0,25,"no","4_25_3"
"175","FSL F2-0310","I","4b",4,25,"minus",30,3,9.17,NA,0,0,"no","4_25_3"
"176","FSL L3-0051","I","12b",4,25,"minus",30,3,9.07,NA,0,0,"no","4_25_3"
"177","FSL F2-0237","II","12a",4,25,"minus",30,3,8.98,NA,0,0,"no","4_25_3"
"178","FSL F2-0310","I","4b",4,25,"plus",30,3,5.5,NA,0,25,"no","4_25_3"
"179","FSL L3-0051","I","12b",4,25,"plus",30,3,5.38,NA,0,25,"no","4_25_3"
"180","FSL F2-0237","II","12a",4,25,"plus",30,3,6.43,NA,0,25,"no","4_25_3"
"181","FSL F2-0310","I","4b",7,250,"minus",1,3,2.33,NA,0,0,"no","7_250_3"
"182","FSL L3-0051","I","12b",7,250,"minus",1,3,2.79,NA,0,0,"no","7_250_3"
"183","FSL F2-0237","II","12a",7,250,"minus",1,3,2.33,NA,0,0,"no","7_250_3"
"184","FSL F2-0310","I","4b",7,250,"plus",1,3,0.37,NA,0,250,"yes","7_250_3"
"185","FSL L3-0051","I","12b",7,250,"plus",1,3,1.11,NA,0,250,"yes","7_250_3"
"186","FSL F2-0237","II","12a",7,250,"plus",1,3,-1,"lower_limit",1,250,"yes","7_250_3"
"187","FSL F2-0310","I","4b",7,250,"minus",15,3,6.75,NA,0,0,"no","7_250_3"
"188","FSL L3-0051","I","12b",7,250,"minus",15,3,8.57,NA,0,0,"no","7_250_3"
"189","FSL F2-0237","II","12a",7,250,"minus",15,3,8.22,NA,0,0,"no","7_250_3"
"190","FSL F2-0310","I","4b",7,250,"plus",15,3,-0.73,"lower_limit",1,250,"yes","7_250_3"
"191","FSL L3-0051","I","12b",7,250,"plus",15,3,1.92,NA,0,250,"yes","7_250_3"
"192","FSL F2-0237","II","12a",7,250,"plus",15,3,-1,"lower_limit",1,250,"yes","7_250_3"
"193","FSL F2-0310","I","4b",7,250,"minus",30,3,9.21,NA,0,0,"no","7_250_3"
"194","FSL L3-0051","I","12b",7,250,"minus",30,3,9.37,NA,0,0,"no","7_250_3"
"195","FSL F2-0237","II","12a",7,250,"minus",30,3,8.84,NA,0,0,"no","7_250_3"
"196","FSL F2-0310","I","4b",7,250,"plus",30,3,-1,"lower_limit",1,250,"yes","7_250_3"
"197","FSL L3-0051","I","12b",7,250,"plus",30,3,4.55,NA,0,250,"yes","7_250_3"
"198","FSL F2-0237","II","12a",7,250,"plus",30,3,-1,"lower_limit",1,250,"yes","7_250_3"
"199","FSL F2-0310","I","4b",4,250,"minus",1,3,2.12,NA,0,0,"no","4_250_3"
"200","FSL L3-0051","I","12b",4,250,"minus",1,3,1.62,NA,0,0,"no","4_250_3"
"201","FSL F2-0237","II","12a",4,250,"minus",1,3,1.71,NA,0,0,"no","4_250_3"
"202","FSL F2-0310","I","4b",4,250,"plus",1,3,1.04,NA,0,250,"yes","4_250_3"
"203","FSL L3-0051","I","12b",4,250,"plus",1,3,-1,"lower_limit",1,250,"yes","4_250_3"
"204","FSL F2-0237","II","12a",4,250,"plus",1,3,-0.73,"lower_limit",1,250,"yes","4_250_3"
"205","FSL F2-0310","I","4b",4,250,"minus",15,3,6.34,NA,0,0,"no","4_250_3"
"206","FSL L3-0051","I","12b",4,250,"minus",15,3,5.22,NA,0,0,"no","4_250_3"
"207","FSL F2-0237","II","12a",4,250,"minus",15,3,5.83,NA,0,0,"no","4_250_3"
"208","FSL F2-0310","I","4b",4,250,"plus",15,3,0.37,NA,0,250,"yes","4_250_3"
"209","FSL L3-0051","I","12b",4,250,"plus",15,3,-0.39,NA,0,250,"yes","4_250_3"
"210","FSL F2-0237","II","12a",4,250,"plus",15,3,2.12,NA,0,250,"yes","4_250_3"
"211","FSL F2-0310","I","4b",4,250,"minus",30,3,9.18,NA,0,0,"no","4_250_3"
"212","FSL L3-0051","I","12b",4,250,"minus",30,3,8.61,NA,0,0,"no","4_250_3"
"213","FSL F2-0237","II","12a",4,250,"minus",30,3,8.57,NA,0,0,"no","4_250_3"
"214","FSL F2-0310","I","4b",4,250,"plus",30,3,6.69,NA,0,250,"yes","4_250_3"
"215","FSL L3-0051","I","12b",4,250,"plus",30,3,-1,"lower_limit",1,250,"yes","4_250_3"
"216","FSL F2-0237","II","12a",4,250,"plus",30,3,3.41,NA,0,250,"yes","4_250_3"
